,1,2,3,4,5,6,7,8,9,10,11,12,13
1649.5,3.65E-02,3.32E-02,3.03E-02,2.64E-02,2.30E-02,2.05E-02,1.86E-02,1.78E-02,1.83E-02,1.91E-02,1.93E-02,1.93E-02,1.92E-02
1647.6,3.59E-02,3.25E-02,2.97E-02,2.63E-02,2.31E-02,2.05E-02,1.91E-02,1.82E-02,1.87E-02,1.89E-02,1.88E-02,1.90E-02,1.89E-02
1645.7,3.53E-02,3.22E-02,2.90E-02,2.60E-02,2.29E-02,2.04E-02,1.91E-02,1.86E-02,1.89E-02,1.89E-02,1.88E-02,1.87E-02,1.85E-02
1643.7,3.63E-02,3.32E-02,3.01E-02,2.68E-02,2.38E-02,2.15E-02,1.98E-02,1.93E-02,1.97E-02,1.94E-02,1.90E-02,1.90E-02,1.88E-02
1641.8,3.70E-02,3.41E-02,3.11E-02,2.78E-02,2.49E-02,2.27E-02,2.08E-02,2.02E-02,2.04E-02,1.99E-02,1.94E-02,1.93E-02,1.92E-02
1639.9,3.75E-02,3.47E-02,3.18E-02,2.86E-02,2.59E-02,2.36E-02,2.16E-02,2.11E-02,2.11E-02,2.03E-02,1.97E-02,1.96E-02,1.95E-02
1638,3.84E-02,3.56E-02,3.29E-02,2.98E-02,2.70E-02,2.50E-02,2.28E-02,2.22E-02,2.21E-02,2.10E-02,2.02E-02,2.02E-02,1.98E-02
1636,3.84E-02,3.55E-02,3.32E-02,3.02E-02,2.75E-02,2.59E-02,2.40E-02,2.34E-02,2.35E-02,2.19E-02,2.12E-02,2.13E-02,2.08E-02
1634.1,3.84E-02,3.54E-02,3.31E-02,3.02E-02,2.78E-02,2.58E-02,2.41E-02,2.39E-02,2.40E-02,2.27E-02,2.20E-02,2.20E-02,2.17E-02
1632.2,3.95E-02,3.68E-02,3.44E-02,3.16E-02,2.93E-02,2.74E-02,2.55E-02,2.53E-02,2.52E-02,2.39E-02,2.30E-02,2.30E-02,2.29E-02
1630.2,4.09E-02,3.87E-02,3.63E-02,3.37E-02,3.14E-02,2.95E-02,2.75E-02,2.71E-02,2.68E-02,2.55E-02,2.44E-02,2.44E-02,2.43E-02
1628.3,4.23E-02,4.01E-02,3.81E-02,3.57E-02,3.35E-02,3.18E-02,2.96E-02,2.93E-02,2.87E-02,2.74E-02,2.62E-02,2.62E-02,2.61E-02
1626.4,4.34E-02,4.14E-02,3.98E-02,3.76E-02,3.56E-02,3.42E-02,3.18E-02,3.13E-02,3.09E-02,2.93E-02,2.80E-02,2.79E-02,2.78E-02
1624.5,4.38E-02,4.23E-02,4.11E-02,3.93E-02,3.77E-02,3.66E-02,3.44E-02,3.39E-02,3.35E-02,3.14E-02,2.98E-02,2.97E-02,2.93E-02
1622.5,4.38E-02,4.29E-02,4.20E-02,4.11E-02,4.03E-02,3.95E-02,3.78E-02,3.76E-02,3.69E-02,3.41E-02,3.21E-02,3.20E-02,3.16E-02
1620.6,4.31E-02,4.24E-02,4.20E-02,4.13E-02,4.10E-02,4.07E-02,3.94E-02,3.95E-02,3.89E-02,3.56E-02,3.37E-02,3.36E-02,3.36E-02
1618.7,4.22E-02,4.16E-02,4.16E-02,4.13E-02,4.11E-02,4.14E-02,4.05E-02,4.08E-02,4.08E-02,3.81E-02,3.66E-02,3.62E-02,3.63E-02
1616.7,4.00E-02,3.94E-02,3.95E-02,3.94E-02,3.96E-02,4.01E-02,4.00E-02,4.12E-02,4.26E-02,4.23E-02,4.15E-02,4.11E-02,4.10E-02
1614.8,3.82E-02,3.76E-02,3.76E-02,3.74E-02,3.78E-02,3.84E-02,3.90E-02,4.10E-02,4.35E-02,4.56E-02,4.57E-02,4.55E-02,4.54E-02
1612.9,3.73E-02,3.69E-02,3.69E-02,3.67E-02,3.70E-02,3.80E-02,3.95E-02,4.20E-02,4.61E-02,5.11E-02,5.23E-02,5.23E-02,5.21E-02
1611,3.75E-02,3.73E-02,3.74E-02,3.73E-02,3.79E-02,3.95E-02,4.26E-02,4.62E-02,5.30E-02,6.26E-02,6.56E-02,6.58E-02,6.57E-02
1609,3.87E-02,3.91E-02,3.93E-02,3.95E-02,4.06E-02,4.37E-02,4.93E-02,5.48E-02,6.63E-02,8.31E-02,8.92E-02,8.93E-02,8.95E-02
1607.1,4.15E-02,4.23E-02,4.29E-02,4.41E-02,4.62E-02,5.14E-02,6.13E-02,7.03E-02,8.96E-02,1.19E-01,1.29E-01,1.30E-01,1.30E-01
1605.2,4.60E-02,4.73E-02,4.89E-02,5.11E-02,5.48E-02,6.32E-02,7.86E-02,9.25E-02,1.22E-01,1.67E-01,1.84E-01,1.85E-01,1.85E-01
1603.2,5.15E-02,5.38E-02,5.67E-02,6.01E-02,6.56E-02,7.75E-02,9.87E-02,1.18E-01,1.58E-01,2.20E-01,2.42E-01,2.42E-01,2.43E-01
1601.3,5.56E-02,5.85E-02,6.23E-02,6.67E-02,7.32E-02,8.64E-02,1.09E-01,1.29E-01,1.72E-01,2.38E-01,2.62E-01,2.62E-01,2.63E-01
1599.4,5.65E-02,6.00E-02,6.41E-02,6.91E-02,7.59E-02,8.72E-02,1.06E-01,1.22E-01,1.55E-01,2.05E-01,2.24E-01,2.25E-01,2.25E-01
1597.4,5.59E-02,5.96E-02,6.39E-02,6.92E-02,7.59E-02,8.49E-02,9.73E-02,1.08E-01,1.28E-01,1.56E-01,1.67E-01,1.67E-01,1.67E-01
1595.5,5.59E-02,5.98E-02,6.38E-02,6.92E-02,7.56E-02,8.31E-02,9.02E-02,9.79E-02,1.09E-01,1.20E-01,1.24E-01,1.24E-01,1.24E-01
1593.6,5.90E-02,6.31E-02,6.71E-02,7.24E-02,7.85E-02,8.46E-02,8.82E-02,9.33E-02,9.86E-02,9.94E-02,9.88E-02,9.83E-02,9.82E-02
1591.7,6.71E-02,7.19E-02,7.69E-02,8.27E-02,8.93E-02,9.44E-02,9.53E-02,9.83E-02,9.80E-02,8.94E-02,8.45E-02,8.38E-02,8.36E-02
1589.7,7.73E-02,8.30E-02,8.93E-02,9.65E-02,1.04E-01,1.09E-01,1.08E-01,1.09E-01,1.04E-01,8.64E-02,7.75E-02,7.67E-02,7.61E-02
1587.8,8.49E-02,9.12E-02,9.81E-02,1.06E-01,1.14E-01,1.20E-01,1.18E-01,1.19E-01,1.12E-01,9.06E-02,7.98E-02,7.88E-02,7.82E-02
1585.9,9.79E-02,1.05E-01,1.13E-01,1.23E-01,1.33E-01,1.40E-01,1.37E-01,1.38E-01,1.31E-01,1.07E-01,9.54E-02,9.43E-02,9.38E-02
1583.9,1.19E-01,1.28E-01,1.39E-01,1.51E-01,1.63E-01,1.72E-01,1.68E-01,1.70E-01,1.60E-01,1.29E-01,1.14E-01,1.12E-01,1.11E-01
1582,1.28E-01,1.38E-01,1.50E-01,1.64E-01,1.77E-01,1.85E-01,1.80E-01,1.79E-01,1.65E-01,1.26E-01,1.07E-01,1.05E-01,1.04E-01
1580.1,1.18E-01,1.27E-01,1.37E-01,1.49E-01,1.60E-01,1.66E-01,1.59E-01,1.57E-01,1.40E-01,1.00E-01,8.16E-02,8.00E-02,7.91E-02
1578.2,1.08E-01,1.15E-01,1.24E-01,1.34E-01,1.43E-01,1.48E-01,1.40E-01,1.38E-01,1.21E-01,8.28E-02,6.44E-02,6.29E-02,6.23E-02
1576.2,1.06E-01,1.14E-01,1.22E-01,1.31E-01,1.39E-01,1.44E-01,1.36E-01,1.33E-01,1.15E-01,7.46E-02,5.46E-02,5.30E-02,5.23E-02
1574.3,1.15E-01,1.24E-01,1.32E-01,1.43E-01,1.52E-01,1.56E-01,1.46E-01,1.42E-01,1.21E-01,7.31E-02,5.05E-02,4.89E-02,4.79E-02
1572.4,1.29E-01,1.39E-01,1.49E-01,1.61E-01,1.72E-01,1.76E-01,1.64E-01,1.59E-01,1.34E-01,7.61E-02,4.97E-02,4.77E-02,4.64E-02
1570.4,1.38E-01,1.48E-01,1.59E-01,1.73E-01,1.85E-01,1.90E-01,1.77E-01,1.71E-01,1.43E-01,7.85E-02,4.86E-02,4.64E-02,4.50E-02
1568.5,1.23E-01,1.32E-01,1.42E-01,1.53E-01,1.65E-01,1.69E-01,1.58E-01,1.52E-01,1.27E-01,7.02E-02,4.43E-02,4.24E-02,4.13E-02
1566.6,1.02E-01,1.09E-01,1.16E-01,1.25E-01,1.33E-01,1.37E-01,1.27E-01,1.23E-01,1.03E-01,5.94E-02,3.92E-02,3.77E-02,3.69E-02
1564.6,7.97E-02,8.43E-02,8.91E-02,9.43E-02,9.95E-02,1.01E-01,9.42E-02,9.15E-02,7.79E-02,4.78E-02,3.37E-02,3.27E-02,3.20E-02
1562.7,7.04E-02,7.39E-02,7.76E-02,8.14E-02,8.51E-02,8.61E-02,8.00E-02,7.78E-02,6.68E-02,4.26E-02,3.14E-02,3.05E-02,3.01E-02
1560.8,6.65E-02,6.95E-02,7.24E-02,7.60E-02,7.87E-02,7.93E-02,7.41E-02,7.21E-02,6.22E-02,4.12E-02,3.01E-02,2.92E-02,2.90E-02
1558.9,6.78E-02,7.13E-02,7.42E-02,7.80E-02,8.12E-02,8.23E-02,7.75E-02,7.50E-02,6.51E-02,4.27E-02,3.07E-02,2.99E-02,2.96E-02
1556.9,6.80E-02,7.13E-02,7.48E-02,7.89E-02,8.23E-02,8.38E-02,7.85E-02,7.65E-02,6.62E-02,4.31E-02,3.23E-02,3.14E-02,3.11E-02
1555,6.22E-02,6.48E-02,6.74E-02,7.06E-02,7.32E-02,7.44E-02,7.01E-02,6.85E-02,6.04E-02,4.16E-02,3.28E-02,3.19E-02,3.17E-02
1553.1,5.46E-02,5.62E-02,5.77E-02,5.92E-02,6.08E-02,6.13E-02,5.82E-02,5.72E-02,5.20E-02,3.92E-02,3.32E-02,3.25E-02,3.23E-02
1551.1,5.16E-02,5.27E-02,5.39E-02,5.48E-02,5.58E-02,5.62E-02,5.33E-02,5.28E-02,4.89E-02,3.89E-02,3.41E-02,3.36E-02,3.34E-02
1549.2,5.02E-02,5.11E-02,5.21E-02,5.25E-02,5.32E-02,5.35E-02,5.11E-02,5.09E-02,4.84E-02,4.06E-02,3.66E-02,3.61E-02,3.59E-02
1547.3,4.89E-02,4.96E-02,5.02E-02,5.03E-02,5.09E-02,5.11E-02,4.91E-02,4.90E-02,4.72E-02,4.15E-02,3.79E-02,3.73E-02,3.71E-02
1545.4,4.49E-02,4.50E-02,4.48E-02,4.41E-02,4.41E-02,4.37E-02,4.25E-02,4.27E-02,4.25E-02,4.02E-02,3.82E-02,3.77E-02,3.73E-02
1543.4,4.20E-02,4.15E-02,4.07E-02,3.94E-02,3.88E-02,3.78E-02,3.70E-02,3.76E-02,3.84E-02,3.81E-02,3.76E-02,3.73E-02,3.68E-02
1541.5,4.03E-02,3.97E-02,3.82E-02,3.67E-02,3.55E-02,3.43E-02,3.36E-02,3.40E-02,3.54E-02,3.65E-02,3.66E-02,3.64E-02,3.60E-02
1539.6,3.89E-02,3.79E-02,3.60E-02,3.39E-02,3.19E-02,3.06E-02,3.00E-02,2.99E-02,3.19E-02,3.37E-02,3.41E-02,3.45E-02,3.39E-02
1537.6,3.90E-02,3.75E-02,3.60E-02,3.35E-02,3.13E-02,2.97E-02,2.86E-02,2.87E-02,3.02E-02,3.17E-02,3.23E-02,3.26E-02,3.22E-02
1535.7,3.89E-02,3.72E-02,3.56E-02,3.32E-02,3.06E-02,2.88E-02,2.74E-02,2.74E-02,2.84E-02,3.00E-02,3.06E-02,3.07E-02,3.04E-02
1533.8,3.87E-02,3.69E-02,3.48E-02,3.21E-02,2.90E-02,2.67E-02,2.51E-02,2.45E-02,2.53E-02,2.69E-02,2.78E-02,2.77E-02,2.76E-02
1531.8,3.90E-02,3.71E-02,3.50E-02,3.17E-02,2.85E-02,2.58E-02,2.39E-02,2.30E-02,2.36E-02,2.49E-02,2.54E-02,2.52E-02,2.53E-02
1529.9,3.94E-02,3.76E-02,3.55E-02,3.20E-02,2.88E-02,2.58E-02,2.37E-02,2.25E-02,2.27E-02,2.36E-02,2.39E-02,2.36E-02,2.37E-02
1528,4.04E-02,3.88E-02,3.65E-02,3.31E-02,2.97E-02,2.67E-02,2.43E-02,2.27E-02,2.26E-02,2.28E-02,2.30E-02,2.29E-02,2.28E-02
1526.1,4.20E-02,4.03E-02,3.79E-02,3.45E-02,3.11E-02,2.83E-02,2.54E-02,2.40E-02,2.34E-02,2.30E-02,2.30E-02,2.28E-02,2.28E-02
1524.1,4.27E-02,4.11E-02,3.88E-02,3.55E-02,3.21E-02,2.93E-02,2.62E-02,2.50E-02,2.42E-02,2.32E-02,2.29E-02,2.26E-02,2.28E-02
1522.2,4.30E-02,4.12E-02,3.91E-02,3.57E-02,3.20E-02,2.91E-02,2.61E-02,2.50E-02,2.43E-02,2.38E-02,2.34E-02,2.33E-02,2.33E-02
1520.3,4.31E-02,4.08E-02,3.87E-02,3.46E-02,3.09E-02,2.81E-02,2.51E-02,2.40E-02,2.36E-02,2.43E-02,2.41E-02,2.41E-02,2.41E-02
1518.3,4.30E-02,4.07E-02,3.83E-02,3.44E-02,3.05E-02,2.74E-02,2.48E-02,2.35E-02,2.35E-02,2.46E-02,2.50E-02,2.49E-02,2.48E-02
1516.4,4.33E-02,4.08E-02,3.80E-02,3.39E-02,3.00E-02,2.64E-02,2.40E-02,2.27E-02,2.33E-02,2.55E-02,2.63E-02,2.64E-02,2.63E-02
1514.5,4.36E-02,4.13E-02,3.85E-02,3.41E-02,3.01E-02,2.66E-02,2.42E-02,2.31E-02,2.39E-02,2.66E-02,2.76E-02,2.76E-02,2.75E-02
1512.6,4.47E-02,4.24E-02,3.95E-02,3.51E-02,3.09E-02,2.76E-02,2.51E-02,2.40E-02,2.52E-02,2.84E-02,2.94E-02,2.95E-02,2.94E-02
1510.6,4.65E-02,4.46E-02,4.13E-02,3.72E-02,3.29E-02,2.96E-02,2.73E-02,2.63E-02,2.78E-02,3.14E-02,3.25E-02,3.28E-02,3.26E-02
1508.7,4.89E-02,4.72E-02,4.44E-02,4.03E-02,3.62E-02,3.32E-02,3.13E-02,3.04E-02,3.21E-02,3.64E-02,3.79E-02,3.79E-02,3.77E-02
1506.8,5.49E-02,5.33E-02,5.14E-02,4.75E-02,4.39E-02,4.12E-02,4.01E-02,3.98E-02,4.28E-02,4.85E-02,5.05E-02,5.04E-02,5.00E-02
1504.8,5.81E-02,5.69E-02,5.51E-02,5.19E-02,4.91E-02,4.67E-02,4.56E-02,4.60E-02,4.97E-02,5.58E-02,5.74E-02,5.74E-02,5.71E-02
1502.9,5.95E-02,5.89E-02,5.76E-02,5.52E-02,5.33E-02,5.23E-02,5.24E-02,5.41E-02,5.96E-02,6.78E-02,6.97E-02,6.97E-02,6.96E-02
1501,6.07E-02,6.05E-02,5.97E-02,5.85E-02,5.76E-02,5.90E-02,6.24E-02,6.70E-02,7.77E-02,9.31E-02,9.72E-02,9.74E-02,9.73E-02
1499.1,6.18E-02,6.20E-02,6.16E-02,6.11E-02,6.16E-02,6.69E-02,7.76E-02,8.82E-02,1.11E-01,1.45E-01,1.56E-01,1.56E-01,1.56E-01
1497.1,6.58E-02,6.70E-02,6.79E-02,6.89E-02,7.34E-02,8.71E-02,1.14E-01,1.38E-01,1.90E-01,2.63E-01,2.86E-01,2.86E-01,2.86E-01
1495.2,7.35E-02,7.63E-02,7.91E-02,8.37E-02,9.49E-02,1.25E-01,1.81E-01,2.30E-01,3.34E-01,4.80E-01,5.27E-01,5.28E-01,5.27E-01
1493.3,7.42E-02,7.73E-02,7.98E-02,8.51E-02,9.73E-02,1.33E-01,2.03E-01,2.62E-01,3.93E-01,5.87E-01,6.55E-01,6.56E-01,6.56E-01
1491.3,6.90E-02,7.02E-02,7.07E-02,7.22E-02,7.88E-02,1.03E-01,1.58E-01,2.02E-01,3.01E-01,4.57E-01,5.15E-01,5.16E-01,5.17E-01
1489.4,6.45E-02,6.35E-02,6.16E-02,5.90E-02,5.90E-02,6.84E-02,9.59E-02,1.18E-01,1.72E-01,2.62E-01,2.96E-01,2.97E-01,2.97E-01
1487.5,6.42E-02,6.25E-02,5.93E-02,5.52E-02,5.25E-02,5.58E-02,7.09E-02,8.37E-02,1.18E-01,1.74E-01,1.95E-01,1.96E-01,1.95E-01
1485.5,6.50E-02,6.26E-02,5.85E-02,5.31E-02,4.86E-02,4.81E-02,5.53E-02,6.22E-02,8.35E-02,1.20E-01,1.33E-01,1.33E-01,1.33E-01
1483.6,6.66E-02,6.36E-02,5.90E-02,5.26E-02,4.67E-02,4.42E-02,4.71E-02,5.06E-02,6.47E-02,8.95E-02,9.90E-02,9.90E-02,9.91E-02
1481.7,6.96E-02,6.60E-02,6.08E-02,5.34E-02,4.62E-02,4.18E-02,4.15E-02,4.24E-02,5.16E-02,6.92E-02,7.59E-02,7.60E-02,7.58E-02
1479.8,7.36E-02,6.94E-02,6.35E-02,5.54E-02,4.70E-02,4.13E-02,3.90E-02,3.84E-02,4.51E-02,5.88E-02,6.39E-02,6.40E-02,6.38E-02
1477.8,7.84E-02,7.36E-02,6.69E-02,5.81E-02,4.88E-02,4.18E-02,3.83E-02,3.66E-02,4.16E-02,5.33E-02,5.75E-02,5.74E-02,5.75E-02
