,1,2,3,4,5,6,7,8,9,10,11,12,13
1475.9,8.62E-02,8.07E-02,7.31E-02,6.31E-02,5.27E-02,4.42E-02,3.95E-02,3.68E-02,4.07E-02,5.12E-02,5.45E-02,5.46E-02,5.45E-02
1474,9.46E-02,8.88E-02,8.02E-02,6.90E-02,5.73E-02,4.75E-02,4.15E-02,3.78E-02,4.08E-02,5.03E-02,5.36E-02,5.36E-02,5.32E-02
1472,1.10E-01,1.03E-01,9.29E-02,7.95E-02,6.58E-02,5.42E-02,4.61E-02,4.12E-02,4.33E-02,5.20E-02,5.48E-02,5.48E-02,5.44E-02
1470.1,1.23E-01,1.14E-01,1.03E-01,8.78E-02,7.23E-02,5.94E-02,4.98E-02,4.40E-02,4.55E-02,5.35E-02,5.59E-02,5.58E-02,5.55E-02
1468.2,1.39E-01,1.29E-01,1.16E-01,9.87E-02,8.08E-02,6.60E-02,5.49E-02,4.80E-02,4.94E-02,5.74E-02,5.98E-02,5.96E-02,5.94E-02
1466.3,1.63E-01,1.51E-01,1.35E-01,1.14E-01,9.25E-02,7.45E-02,6.09E-02,5.23E-02,5.36E-02,6.25E-02,6.55E-02,6.53E-02,6.52E-02
1464.3,2.04E-01,1.87E-01,1.67E-01,1.39E-01,1.11E-01,8.79E-02,7.03E-02,5.91E-02,6.04E-02,7.25E-02,7.67E-02,7.66E-02,7.62E-02
1462.4,2.41E-01,2.22E-01,1.97E-01,1.64E-01,1.30E-01,1.01E-01,7.94E-02,6.56E-02,6.73E-02,8.31E-02,8.84E-02,8.84E-02,8.79E-02
1460.5,2.66E-01,2.46E-01,2.19E-01,1.83E-01,1.46E-01,1.14E-01,9.12E-02,7.68E-02,8.12E-02,1.03E-01,1.11E-01,1.11E-01,1.11E-01
1458.5,2.68E-01,2.49E-01,2.24E-01,1.90E-01,1.54E-01,1.25E-01,1.08E-01,9.74E-02,1.11E-01,1.48E-01,1.61E-01,1.61E-01,1.61E-01
1456.6,2.57E-01,2.40E-01,2.18E-01,1.90E-01,1.63E-01,1.49E-01,1.57E-01,1.67E-01,2.18E-01,3.07E-01,3.36E-01,3.36E-01,3.36E-01
1454.7,2.57E-01,2.43E-01,2.24E-01,1.99E-01,1.79E-01,1.82E-01,2.15E-01,2.48E-01,3.45E-01,4.96E-01,5.45E-01,5.45E-01,5.45E-01
1452.7,2.58E-01,2.44E-01,2.26E-01,2.02E-01,1.84E-01,1.91E-01,2.35E-01,2.76E-01,3.93E-01,5.84E-01,6.53E-01,6.52E-01,6.53E-01
1450.8,2.53E-01,2.39E-01,2.21E-01,1.97E-01,1.75E-01,1.75E-01,2.07E-01,2.37E-01,3.31E-01,4.96E-01,5.61E-01,5.61E-01,5.62E-01
1448.9,2.41E-01,2.29E-01,2.11E-01,1.88E-01,1.67E-01,1.61E-01,1.79E-01,1.98E-01,2.68E-01,3.92E-01,4.40E-01,4.41E-01,4.41E-01
1447,2.27E-01,2.15E-01,1.98E-01,1.76E-01,1.56E-01,1.47E-01,1.58E-01,1.72E-01,2.25E-01,3.22E-01,3.60E-01,3.60E-01,3.60E-01
1445,2.16E-01,2.04E-01,1.87E-01,1.66E-01,1.45E-01,1.35E-01,1.42E-01,1.50E-01,1.94E-01,2.72E-01,3.02E-01,3.03E-01,3.03E-01
1443.1,2.10E-01,1.97E-01,1.80E-01,1.58E-01,1.37E-01,1.25E-01,1.27E-01,1.31E-01,1.64E-01,2.26E-01,2.49E-01,2.49E-01,2.49E-01
1441.2,2.07E-01,1.94E-01,1.76E-01,1.53E-01,1.31E-01,1.17E-01,1.14E-01,1.15E-01,1.39E-01,1.88E-01,2.06E-01,2.06E-01,2.06E-01
1439.2,2.07E-01,1.93E-01,1.75E-01,1.51E-01,1.27E-01,1.10E-01,1.04E-01,1.02E-01,1.20E-01,1.59E-01,1.74E-01,1.74E-01,1.74E-01
1437.3,2.11E-01,1.96E-01,1.76E-01,1.51E-01,1.25E-01,1.05E-01,9.49E-02,8.88E-02,9.97E-02,1.29E-01,1.41E-01,1.40E-01,1.40E-01
1435.4,2.16E-01,2.00E-01,1.79E-01,1.52E-01,1.24E-01,1.02E-01,8.65E-02,7.67E-02,8.05E-02,9.89E-02,1.07E-01,1.06E-01,1.06E-01
1433.5,2.19E-01,2.03E-01,1.81E-01,1.53E-01,1.24E-01,9.98E-02,8.22E-02,7.02E-02,7.01E-02,8.21E-02,8.75E-02,8.72E-02,8.70E-02
1431.5,2.24E-01,2.07E-01,1.84E-01,1.55E-01,1.25E-01,9.94E-02,7.92E-02,6.52E-02,6.13E-02,6.76E-02,7.07E-02,7.03E-02,6.99E-02
1429.6,2.31E-01,2.13E-01,1.90E-01,1.59E-01,1.29E-01,1.01E-01,7.89E-02,6.36E-02,5.68E-02,5.87E-02,5.98E-02,5.95E-02,5.91E-02
1427.7,2.40E-01,2.21E-01,1.97E-01,1.65E-01,1.33E-01,1.05E-01,8.05E-02,6.37E-02,5.47E-02,5.29E-02,5.26E-02,5.22E-02,5.19E-02
1425.7,2.49E-01,2.29E-01,2.04E-01,1.71E-01,1.38E-01,1.08E-01,8.26E-02,6.46E-02,5.42E-02,5.03E-02,4.93E-02,4.87E-02,4.85E-02
1423.8,2.64E-01,2.42E-01,2.14E-01,1.79E-01,1.42E-01,1.10E-01,8.27E-02,6.31E-02,5.16E-02,4.70E-02,4.58E-02,4.52E-02,4.50E-02
1421.9,2.78E-01,2.54E-01,2.24E-01,1.86E-01,1.47E-01,1.12E-01,8.28E-02,6.19E-02,4.98E-02,4.56E-02,4.43E-02,4.38E-02,4.36E-02
1420,3.00E-01,2.74E-01,2.42E-01,2.00E-01,1.58E-01,1.20E-01,8.74E-02,6.42E-02,5.01E-02,4.47E-02,4.31E-02,4.26E-02,4.24E-02
1418,3.29E-01,3.01E-01,2.66E-01,2.21E-01,1.75E-01,1.33E-01,9.61E-02,6.98E-02,5.32E-02,4.57E-02,4.32E-02,4.26E-02,4.21E-02
1416.1,3.38E-01,3.09E-01,2.74E-01,2.27E-01,1.80E-01,1.36E-01,9.73E-02,6.96E-02,5.25E-02,4.53E-02,4.30E-02,4.23E-02,4.19E-02
1414.2,3.30E-01,3.03E-01,2.68E-01,2.22E-01,1.75E-01,1.32E-01,9.33E-02,6.59E-02,4.96E-02,4.42E-02,4.26E-02,4.19E-02,4.18E-02
1412.2,3.08E-01,2.83E-01,2.50E-01,2.08E-01,1.63E-01,1.23E-01,8.73E-02,6.20E-02,4.71E-02,4.32E-02,4.22E-02,4.15E-02,4.13E-02
1410.3,2.82E-01,2.58E-01,2.29E-01,1.90E-01,1.50E-01,1.13E-01,8.17E-02,5.92E-02,4.61E-02,4.29E-02,4.20E-02,4.15E-02,4.12E-02
1408.4,2.56E-01,2.35E-01,2.08E-01,1.74E-01,1.38E-01,1.05E-01,7.71E-02,5.70E-02,4.55E-02,4.27E-02,4.18E-02,4.16E-02,4.12E-02
1406.4,2.33E-01,2.14E-01,1.91E-01,1.60E-01,1.29E-01,9.97E-02,7.44E-02,5.65E-02,4.62E-02,4.31E-02,4.22E-02,4.19E-02,4.15E-02
1404.5,2.12E-01,1.96E-01,1.75E-01,1.49E-01,1.21E-01,9.54E-02,7.27E-02,5.68E-02,4.76E-02,4.38E-02,4.24E-02,4.20E-02,4.17E-02
1402.6,1.96E-01,1.83E-01,1.65E-01,1.41E-01,1.17E-01,9.43E-02,7.35E-02,5.93E-02,5.04E-02,4.55E-02,4.35E-02,4.30E-02,4.27E-02
1400.7,1.87E-01,1.75E-01,1.60E-01,1.39E-01,1.17E-01,9.65E-02,7.71E-02,6.38E-02,5.49E-02,4.82E-02,4.52E-02,4.45E-02,4.44E-02
1398.7,1.84E-01,1.75E-01,1.62E-01,1.43E-01,1.24E-01,1.06E-01,8.71E-02,7.42E-02,6.42E-02,5.38E-02,4.85E-02,4.77E-02,4.76E-02
1396.8,1.87E-01,1.79E-01,1.68E-01,1.52E-01,1.35E-01,1.18E-01,9.90E-02,8.63E-02,7.44E-02,5.93E-02,5.19E-02,5.09E-02,5.05E-02
1394.9,2.04E-01,1.99E-01,1.90E-01,1.78E-01,1.64E-01,1.48E-01,1.28E-01,1.14E-01,9.77E-02,7.16E-02,5.89E-02,5.76E-02,5.67E-02
1392.9,2.39E-01,2.37E-01,2.33E-01,2.25E-01,2.15E-01,2.02E-01,1.78E-01,1.62E-01,1.37E-01,9.07E-02,6.89E-02,6.70E-02,6.59E-02
1391,3.20E-01,3.26E-01,3.29E-01,3.31E-01,3.30E-01,3.21E-01,2.90E-01,2.70E-01,2.25E-01,1.33E-01,8.95E-02,8.61E-02,8.43E-02
1389.1,4.47E-01,4.64E-01,4.81E-01,4.98E-01,5.12E-01,5.09E-01,4.67E-01,4.42E-01,3.67E-01,2.00E-01,1.22E-01,1.16E-01,1.13E-01
1387.2,4.93E-01,5.13E-01,5.35E-01,5.56E-01,5.75E-01,5.73E-01,5.26E-01,5.00E-01,4.14E-01,2.27E-01,1.40E-01,1.33E-01,1.30E-01
1385.2,4.30E-01,4.40E-01,4.50E-01,4.58E-01,4.63E-01,4.53E-01,4.11E-01,3.86E-01,3.21E-01,1.90E-01,1.29E-01,1.24E-01,1.22E-01
1383.3,3.80E-01,3.80E-01,3.77E-01,3.70E-01,3.60E-01,3.41E-01,3.02E-01,2.78E-01,2.35E-01,1.56E-01,1.19E-01,1.15E-01,1.14E-01
1381.4,3.75E-01,3.67E-01,3.54E-01,3.34E-01,3.10E-01,2.83E-01,2.44E-01,2.19E-01,1.88E-01,1.39E-01,1.16E-01,1.14E-01,1.12E-01
1379.4,4.02E-01,3.88E-01,3.67E-01,3.36E-01,3.02E-01,2.66E-01,2.23E-01,1.95E-01,1.69E-01,1.35E-01,1.18E-01,1.17E-01,1.15E-01
1377.5,4.27E-01,4.08E-01,3.80E-01,3.42E-01,3.00E-01,2.58E-01,2.13E-01,1.83E-01,1.60E-01,1.36E-01,1.23E-01,1.22E-01,1.21E-01
1375.6,4.35E-01,4.12E-01,3.80E-01,3.37E-01,2.92E-01,2.48E-01,2.03E-01,1.74E-01,1.55E-01,1.37E-01,1.27E-01,1.26E-01,1.25E-01
1373.6,4.47E-01,4.18E-01,3.81E-01,3.31E-01,2.81E-01,2.34E-01,1.89E-01,1.60E-01,1.45E-01,1.35E-01,1.29E-01,1.27E-01,1.27E-01
1371.7,4.80E-01,4.45E-01,4.00E-01,3.40E-01,2.80E-01,2.27E-01,1.78E-01,1.46E-01,1.33E-01,1.30E-01,1.27E-01,1.26E-01,1.25E-01
1369.8,5.38E-01,4.94E-01,4.40E-01,3.67E-01,2.94E-01,2.29E-01,1.72E-01,1.35E-01,1.20E-01,1.23E-01,1.23E-01,1.22E-01,1.21E-01
1367.9,6.10E-01,5.59E-01,4.95E-01,4.07E-01,3.19E-01,2.40E-01,1.72E-01,1.27E-01,1.09E-01,1.17E-01,1.19E-01,1.18E-01,1.17E-01
1365.9,6.56E-01,6.01E-01,5.30E-01,4.34E-01,3.36E-01,2.48E-01,1.72E-01,1.20E-01,1.01E-01,1.11E-01,1.15E-01,1.14E-01,1.14E-01
1364,6.58E-01,6.03E-01,5.31E-01,4.34E-01,3.36E-01,2.46E-01,1.69E-01,1.14E-01,9.44E-02,1.06E-01,1.11E-01,1.10E-01,1.10E-01
1362.1,6.24E-01,5.70E-01,5.02E-01,4.10E-01,3.16E-01,2.30E-01,1.58E-01,1.06E-01,8.70E-02,1.00E-01,1.06E-01,1.06E-01,1.05E-01
1360.1,5.77E-01,5.26E-01,4.63E-01,3.78E-01,2.90E-01,2.10E-01,1.44E-01,9.74E-02,8.13E-02,9.54E-02,1.01E-01,1.01E-01,1.01E-01
1358.2,5.27E-01,4.81E-01,4.22E-01,3.44E-01,2.63E-01,1.91E-01,1.32E-01,8.99E-02,7.68E-02,9.07E-02,9.69E-02,9.67E-02,9.60E-02
1356.3,4.78E-01,4.35E-01,3.82E-01,3.11E-01,2.38E-01,1.73E-01,1.20E-01,8.35E-02,7.30E-02,8.71E-02,9.30E-02,9.29E-02,9.22E-02
1354.4,4.31E-01,3.92E-01,3.44E-01,2.80E-01,2.14E-01,1.57E-01,1.10E-01,7.81E-02,7.01E-02,8.45E-02,9.00E-02,8.99E-02,8.94E-02
1352.4,3.93E-01,3.57E-01,3.13E-01,2.55E-01,1.96E-01,1.45E-01,1.03E-01,7.48E-02,6.88E-02,8.30E-02,8.81E-02,8.79E-02,8.77E-02
1350.5,3.64E-01,3.31E-01,2.89E-01,2.36E-01,1.81E-01,1.35E-01,9.67E-02,7.17E-02,6.71E-02,8.11E-02,8.61E-02,8.59E-02,8.58E-02
1348.6,3.43E-01,3.11E-01,2.71E-01,2.20E-01,1.69E-01,1.25E-01,9.05E-02,6.75E-02,6.40E-02,7.81E-02,8.33E-02,8.31E-02,8.31E-02
1346.6,3.27E-01,2.96E-01,2.58E-01,2.09E-01,1.60E-01,1.19E-01,8.58E-02,6.40E-02,6.10E-02,7.45E-02,7.99E-02,7.96E-02,7.97E-02
1344.7,3.11E-01,2.82E-01,2.46E-01,2.00E-01,1.54E-01,1.14E-01,8.25E-02,6.18E-02,5.88E-02,7.10E-02,7.60E-02,7.58E-02,7.57E-02
1342.8,2.92E-01,2.66E-01,2.33E-01,1.90E-01,1.47E-01,1.10E-01,8.00E-02,6.07E-02,5.73E-02,6.81E-02,7.24E-02,7.23E-02,7.21E-02
1340.9,2.70E-01,2.46E-01,2.17E-01,1.79E-01,1.39E-01,1.06E-01,7.89E-02,6.11E-02,5.75E-02,6.64E-02,6.98E-02,6.98E-02,6.96E-02
1338.9,2.45E-01,2.25E-01,2.00E-01,1.67E-01,1.34E-01,1.04E-01,8.03E-02,6.44E-02,6.08E-02,6.69E-02,6.88E-02,6.90E-02,6.87E-02
1337,2.26E-01,2.10E-01,1.90E-01,1.63E-01,1.36E-01,1.11E-01,8.96E-02,7.57E-02,7.08E-02,7.17E-02,7.12E-02,7.10E-02,7.09E-02
1335.1,2.16E-01,2.05E-01,1.90E-01,1.70E-01,1.49E-01,1.30E-01,1.10E-01,9.83E-02,9.05E-02,8.19E-02,7.74E-02,7.67E-02,7.64E-02
1333.1,2.13E-01,2.05E-01,1.95E-01,1.80E-01,1.65E-01,1.50E-01,1.31E-01,1.20E-01,1.10E-01,9.32E-02,8.47E-02,8.38E-02,8.32E-02
1331.2,2.07E-01,2.02E-01,1.94E-01,1.82E-01,1.69E-01,1.56E-01,1.38E-01,1.28E-01,1.17E-01,9.95E-02,8.98E-02,8.92E-02,8.83E-02
1329.3,1.88E-01,1.84E-01,1.77E-01,1.67E-01,1.56E-01,1.45E-01,1.29E-01,1.21E-01,1.13E-01,9.91E-02,9.10E-02,9.05E-02,8.96E-02
1327.3,1.58E-01,1.53E-01,1.47E-01,1.38E-01,1.28E-01,1.19E-01,1.08E-01,1.02E-01,9.83E-02,9.16E-02,8.72E-02,8.67E-02,8.62E-02
1325.4,1.33E-01,1.27E-01,1.21E-01,1.12E-01,1.02E-01,9.37E-02,8.49E-02,8.11E-02,8.12E-02,8.24E-02,8.15E-02,8.11E-02,8.08E-02
1323.5,1.16E-01,1.10E-01,1.03E-01,9.38E-02,8.43E-02,7.65E-02,6.96E-02,6.69E-02,6.95E-02,7.59E-02,7.71E-02,7.68E-02,7.67E-02
1321.6,1.04E-01,9.89E-02,9.20E-02,8.25E-02,7.32E-02,6.59E-02,6.04E-02,5.84E-02,6.27E-02,7.20E-02,7.44E-02,7.43E-02,7.42E-02
1319.6,9.75E-02,9.22E-02,8.53E-02,7.60E-02,6.70E-02,6.02E-02,5.56E-02,5.42E-02,5.94E-02,7.04E-02,7.36E-02,7.35E-02,7.34E-02
1317.7,9.40E-02,8.89E-02,8.22E-02,7.32E-02,6.45E-02,5.80E-02,5.38E-02,5.29E-02,5.88E-02,7.09E-02,7.46E-02,7.46E-02,7.43E-02
1315.8,9.30E-02,8.80E-02,8.14E-02,7.25E-02,6.41E-02,5.80E-02,5.43E-02,5.35E-02,5.98E-02,7.25E-02,7.65E-02,7.65E-02,7.63E-02
1313.8,9.33E-02,8.82E-02,8.19E-02,7.33E-02,6.50E-02,5.93E-02,5.57E-02,5.47E-02,6.14E-02,7.41E-02,7.81E-02,7.80E-02,7.79E-02
1311.9,9.40E-02,8.94E-02,8.35E-02,7.57E-02,6.77E-02,6.20E-02,5.84E-02,5.74E-02,6.33E-02,7.46E-02,7.83E-02,7.82E-02,7.80E-02
1310,9.46E-02,9.11E-02,8.60E-02,7.93E-02,7.26E-02,6.72E-02,6.34E-02,6.21E-02,6.63E-02,7.43E-02,7.68E-02,7.67E-02,7.65E-02
1308.1,9.16E-02,8.90E-02,8.49E-02,7.96E-02,7.44E-02,6.98E-02,6.62E-02,6.49E-02,6.75E-02,7.27E-02,7.40E-02,7.38E-02,7.37E-02
1306.1,8.24E-02,8.00E-02,7.67E-02,7.19E-02,6.78E-02,6.42E-02,6.13E-02,6.05E-02,6.31E-02,6.85E-02,7.01E-02,7.00E-02,6.98E-02
1304.2,7.16E-02,6.92E-02,6.62E-02,6.18E-02,5.81E-02,5.51E-02,5.33E-02,5.31E-02,5.61E-02,6.32E-02,6.58E-02,6.58E-02,6.56E-02
1302.3,6.33E-02,6.10E-02,5.82E-02,5.46E-02,5.14E-02,4.90E-02,4.83E-02,4.82E-02,5.08E-02,5.87E-02,6.19E-02,6.21E-02,6.17E-02
1300.3,5.74E-02,5.53E-02,5.30E-02,5.03E-02,4.80E-02,4.64E-02,4.64E-02,4.64E-02,4.79E-02,5.52E-02,5.86E-02,5.87E-02,5.84E-02
